flat_id,id,floor,kitchen_area,living_area,rooms,is_apartment,studio,total_area,price,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator
8348,23114,8,10.600000381469728,56,3,False,False,88.59999847,10990000,2018,4,55.54218673706055,37.48306655883789,2.640000104904175,409,18,True
8350,23116,3,7,28,2,False,False,44.70000076293945,8999000,1967,4,55.85776519775391,37.42268371582031,2.640000104904175,143,9,True
8351,23118,16,10.899999618530272,54.79999923706055,4,False,False,89.09999847,24000000,1996,4,55.56290817260742,37.570430755615234,2.700000047683716,164,16,True
8352,23120,2,7.400000095367432,66.30000305175781,4,False,False,93,17500000,1965,1,55.653507232666016,37.64942551,2.700000047683716,59,6,True
8354,23122,4,9.100000381469728,17.700000762939453,1,False,False,34,7500000,1964,1,55.79640579223633,37.45987319946289,3,72,9,True
8355,23124,12,9.600000381469728,19.600000381469727,1,False,False,36,10050000,1974,6,55.766727447509766,37.67351913452149,2.640000104904175,178,12,True
8356,23126,4,8.300000190734863,27.799999237060547,2,False,False,52.400001525878906,15000000,1988,6,55.78792190551758,37.44795227050781,2.640000104904175,72,7,True
8357,23128,2,6,43.09999847412109,3,False,False,57.20000076293945,11000000,1969,4,55.69534683227539,37.80656814575195,2.640000104904175,178,9,True
8358,23129,3,9.199999809265137,44.59999847412109,3,False,False,65,13650000,1967,6,55.734649658203125,37.69879913330078,2.640000104904175,84,12,True
8360,23130,5,9.600000381469728,19.5,1,False,False,34.5,8500000,1993,6,55.76635360717773,37.83331298828125,2.4800000190734863,111,16,True
8362,23132,4,8.5,17.299999237060547,1,False,False,36,9400000,1965,1,55.73463058,37.47636795043945,2.75,71,9,True
8363,23133,10,10,20,1,False,False,38,6980000,1979,4,55.84422684,37.43226623535156,2.640000104904175,105,16,True
8364,23134,3,6,18,1,False,False,32,7200000,1962,6,55.81770324707031,37.57064437866211,2.4800000190734863,80,5,False
8365,23138,1,6.679999828338623,36.84999847412109,2,False,False,45.810001373291016,8800000,1975,4,55.613319396972656,37.72209930419922,2.5,382,12,True
8367,23140,6,9.5,44.5,3,False,False,75,21500000,2009,2,55.76991271972656,37.48421859741211,2.700000047683716,164,14,True
8368,23141,11,15,24,2,False,False,46,8600000,2007,2,55.80706024169922,37.77212905883789,2.799999952316284,157,19,True
8369,23142,3,7,29,2,False,False,48,13700000,1967,4,55.82349395751953,37.57917022705078,2.640000104904175,250,9,True
8370,23143,3,10,52,3,False,False,80.5,20000000,1957,1,55.69994735717773,37.61968231201172,3,350,11,True
8371,23145,3,9.5,32.5,2,False,False,54,11500000,1994,4,55.56016159057617,37.58372497558594,2.640000104904175,240,17,True
20427,23147,2,6,0,1,False,False,32,8550000,1966,4,55.741981506347656,37.758094787597656,2.640000104904175,60,5,False
20428,23148,4,5.800000190734863,0,2,False,False,31.5,9990000,1970,1,55.86569595336914,37.65898513793945,2.5999999046325684,144,9,True
20429,23149,4,8.300000190734863,18.899999618530277,1,False,False,38.29999923706055,9500000,1995,4,55.64992141723633,37.75882339477539,2.640000104904175,424,10,True
20434,23150,8,7,0,2,False,False,41,10900000,1967,6,55.62855148,37.67582702636719,2.640000104904175,164,12,True
20436,23152,11,9.800000190734863,30.299999237060547,2,False,False,52,25500000,1999,4,55.67772674560547,37.51392364501953,2.75,203,17,True
20437,23153,1,6.5,0,3,False,False,61,13000000,1974,6,55.62345123291016,37.48333740234375,2.4800000190734863,112,12,True
41165,78006,3,5.900000095367432,0,2,False,False,41,10500000,1971,1,55.84528732299805,37.45162582397461,2.640000104904175,287,9,True
41166,78010,7,11,0,2,False,False,62,10450000,2013,2,55.57313537597656,37.484352111816406,2.799999952316284,201,17,True
41168,78016,10,9,0,2,False,False,54,12500000,1984,4,55.63003158569336,37.74414443969727,2.640000104904175,474,17,True
41172,78018,1,8.699999809265137,0,1,False,False,38.79999923706055,7750000,1983,4,55.58351516723633,37.67485046386719,2.640000104904175,427,12,True
41173,78020,16,9.300000190734863,0,2,False,False,54,14300000,1979,4,55.61894989013672,37.54084777832031,2.640000104904175,256,16,True
41174,78022,7,6,0,1,False,False,40.400001525878906,11200000,1966,1,55.86422729492188,37.4666748,2.700000047683716,281,9,True
41175,78024,12,8.399999618530273,18.899999618530277,1,False,False,37.79999923706055,12900000,1983,4,55.781497955322266,37.48425293,2.640000104904175,136,17,True
41176,78026,4,9,0,2,False,False,52,9600000,1977,6,55.77975082397461,37.83224487304688,2.4800000190734863,168,12,True
41177,78028,1,5.5,28.899999618530277,2,False,False,43.79999923706055,8200000,1964,1,55.79170989990234,37.79376983642578,3,78,5,True
41178,78030,13,8,0,1,False,False,38,9300000,2016,4,55.63751983642578,37.324405670166016,2.700000047683716,256,17,True
41179,78032,7,6,0,1,False,False,33.5,8550000,1972,1,55.804813385009766,37.72631454467773,2.640000104904175,528,9,True
41180,78034,1,12.100000381469728,0,1,False,False,40,9950000,2015,2,55.58977127075195,37.45494079589844,2.799999952316284,70,6,True
41182,78036,4,7,0,3,False,False,64.5,13800000,1969,4,55.71976852416992,37.73740005493164,2.700000047683716,358,9,True
41183,78039,9,9.699999809265137,19.899999618530277,1,False,False,35,8000000,1967,6,55.71676254272461,37.80973052978516,2.640000104904175,96,12,True
41185,78041,1,10,0,3,False,False,72.90000153,21500000,1987,4,55.67892456054688,37.48883438110352,2.640000104904175,521,24,True
41188,78043,16,6,22.299999237060547,2,False,False,37.84000015258789,8350000,2018,2,55.62043762207031,37.26533508300781,2.799999952316284,235,17,True
41189,78045,12,11.600000381469728,0,3,False,False,83.5,20500000,2013,4,55.71378326416016,37.400672912597656,3,258,19,True
41190,78047,8,10.399999618530272,0,2,False,False,68.90000153,17500000,2017,4,55.66139221191406,37.41422271728516,2.700000047683716,412,25,True
41191,78050,14,8.5,0,2,False,False,52,15100000,1998,4,55.66396713256836,37.55337905883789,2.640000104904175,450,17,True
41194,78051,6,8,0,2,False,False,38,11200000,1971,6,55.802982330322266,37.54908371,2.640000104904175,91,14,True
41197,78053,2,8.600000381469727,0,2,False,False,52.20000076293945,14350000,1989,4,55.64021301269531,37.65953445,2.700000047683716,167,14,True
41200,78056,3,12,0,1,False,False,59.20000076293945,13500000,2017,4,55.63689422607422,37.31226348876953,2.799999952316284,329,17,True
51405,78057,1,8,19,1,False,False,37,8500000,1970,4,55.72090911865234,37.80813217163086,2.640000104904175,144,9,True
51406,78060,5,11.5,37,2,False,False,61,11500000,2009,4,55.50192260742188,37.599220275878906,2.799999952316284,138,24,True
51407,78062,14,9,19,1,False,False,36,8000000,2016,2,55.61875915527344,37.26356506347656,2.799999952316284,236,17,True
51408,78064,11,9.800000190734863,30,2,False,False,50.70000076293945,14300000,2014,4,55.63931274414063,37.39912033081055,2.75,320,17,True
51410,78066,8,10.199999809265137,43.70000076293945,3,False,False,75.5,21900000,1987,4,55.74139022827149,37.86846160888672,2.640000104904175,135,17,True
51411,78068,8,7.199999809265137,30.200000762939453,2,False,False,48.79999923706055,14300000,1960,1,55.67935180664063,37.53375244140625,2.799999952316284,261,8,True
51412,78070,6,8,20,1,False,False,36.70000076293945,9850000,1973,1,55.664695739746094,37.611366271972656,2.640000104904175,160,9,True
51413,78072,13,10,20,1,False,False,39,14990000,2009,4,55.66656875610352,37.52193832397461,2.640000104904175,310,22,True
51414,78074,5,9,17,1,False,False,37,9500000,2001,4,55.54949951171875,37.564903259277344,2.640000104904175,96,12,True
51415,78076,20,11,23,1,False,False,44,10550000,2015,2,55.636844635009766,37.33323669433594,2.799999952316284,338,20,True
51416,78078,10,6.5,23.899999618530277,2,False,False,38.79999923706055,8990000,1969,6,55.74158477783203,37.76039505004883,2.640000104904175,84,12,True
47012,50929,9,6,18.600000381469727,1,False,False,32.20000076293945,8000000,1978,4,55.60923385620117,37.529422760009766,2.640000104904175,375,9,True
47013,50931,14,0,0,1,False,False,38,12500000,2004,4,55.85053634643555,37.65443801879883,2.740000009536743,156,14,True
47014,50933,3,6,29,2,False,False,43,9000000,1959,0,55.733848571777344,37.48509979248047,2.4800000190734863,80,5,False
47015,50935,1,7,19,1,False,False,34,9500000,1972,4,55.64420700073242,37.52560424804688,2.640000104904175,143,12,True
47016,50937,14,13.300000190734863,44.70000076293945,3,False,False,80.69999694824219,22500000,2010,4,55.82591629,37.59585952758789,2.740000009536743,308,17,True
47017,50939,1,7,20,1,False,False,41,7090000,1977,4,55.60660552978516,37.74009323120117,2.700000047683716,469,12,True
47018,50941,10,10,18,1,False,False,42,13500000,2006,4,55.81348419189453,37.65013504,2.640000104904175,189,17,True
47020,50943,6,10,0,3,False,False,74.90000153,12500000,2013,4,55.70326232910156,37.91991043,2.700000047683716,424,19,True
47021,50945,1,0,0,2,False,False,45,11969000,1962,4,55.679080963134766,37.454322814941406,2.640000104904175,60,5,False
47022,50947,4,8.800000190734863,30.299999237060547,2,False,False,52,16200000,2004,4,55.80824661254883,37.81660461425781,2.640000104904175,378,17,True
47023,50949,3,6,27.799999237060547,2,False,False,43.900001525878906,5770000,1970,4,55.72096252441406,37.81102371,2.640000104904175,287,9,True
47025,50951,7,6,27.87999916,2,False,False,44.20000076293945,15300000,1973,4,55.78078079223633,37.51961135864258,2.640000104904175,140,9,True
47026,50953,3,9.5,36,2,False,False,49,9300000,1970,4,55.69586944580078,37.489524841308594,2.640000104904175,98,14,True
47027,50955,7,6.699999809265137,29.600000381469727,2,False,False,45.09999847412109,6950000,1968,4,55.69824219,37.80763626098633,2.5,283,9,True
47030,50958,1,6,42.20000076293945,3,True,False,60,13500000,1969,4,55.86312484741211,37.51007843017578,2.640000104904175,209,9,True
47031,50960,12,8.180000305175781,19.100000381469727,1,False,False,35.91999816894531,13200000,1978,4,55.790069580078125,37.60319137573242,2.700000047683716,127,16,True
47035,50962,3,8.600000381469727,20.799999237060547,1,False,False,39,8700000,1985,4,55.63785552978516,37.76339721679688,2.640000104904175,249,14,True
47038,50964,10,9,30,2,False,False,50.79999923706055,12250000,1985,4,55.69178391,37.49825668334961,2.640000104904175,271,17,True
47040,50966,4,7,36.5,2,False,False,64.5,25000000,1925,1,55.732418060302734,37.6408577,3,74,6,True
47042,50968,13,7,19,1,False,False,39,10500000,2012,4,55.71860885620117,37.80625534057617,2.700000047683716,320,17,True
20438,23154,3,11.399999618530272,40,2,False,False,67,17400000,2014,4,55.86899185180664,37.48126220703125,2.7799999713897705,282,19,True
20439,23155,3,6,0,2,False,False,46,11600000,1971,6,55.61183547973633,37.60180664,2.640000104904175,94,14,True
20441,23157,7,7,0,2,False,False,42.59999847412109,11300000,1986,1,55.845951080322266,37.36521911621094,2.700000047683716,198,9,True
20442,23158,2,6,0,2,False,False,46,14600000,1965,4,55.77698898,37.48316574,2.640000104904175,100,5,False
20448,23159,9,13,0,4,False,False,115,26500000,1998,4,55.84322738647461,37.38690185546875,2.75,209,16,True
20449,23161,9,0,0,2,False,False,58,12000000,2014,4,55.52434921264648,37.50967788696289,2.700000047683716,369,17,True
20450,23162,9,11,0,1,False,False,18,5300000,1973,4,55.71444320678711,37.73173141479492,2.5,312,12,True
20453,23163,10,10.600000381469728,0,1,False,False,37,8399000,2019,2,55.69852828979492,37.941314697265625,2.700000047683716,397,24,True
20457,23164,3,10.600000381469728,34,2,False,False,59.59999847412109,14750000,1987,4,55.60464096069336,37.74747085571289,2.640000104904175,256,17,True
20460,23169,16,10,0,2,False,False,42,14500000,2021,2,55.77029037475586,37.473670959472656,3,629,25,True
20461,23170,18,10,17,1,False,False,37,13000000,2011,2,55.78461837768555,37.46278381347656,3,385,27,True
20462,23171,10,10,0,1,False,False,45,12200000,2015,2,55.63817596435547,37.32905197143555,2.799999952316284,382,24,True
20464,23172,14,10,44,3,False,False,73,16800000,1997,4,55.65221024,37.76621627807617,2.640000104904175,384,21,True
20467,23173,3,5.599999904632568,0,1,False,False,31.600000381469727,9800000,1962,4,55.80071258544922,37.48888016,2.640000104904175,60,5,False
20471,23174,2,10,0,1,False,False,31,8700000,1963,4,55.76212310791016,37.73070526123047,2.539999961853028,80,5,False
20472,23175,14,10.800000190734863,0,2,False,False,62.900001525878906,15850000,1999,4,55.87676239013672,37.66339492797852,2.740000009536743,160,14,True
20473,23180,1,5.800000190734863,0,2,False,False,44.70000076293945,11900000,1962,4,55.65567779541016,37.56113815307617,2.4800000190734863,60,5,False
20474,23182,1,5.5,0,3,False,False,55.79999923706055,14850000,1968,4,55.64100646972656,37.54037094116211,2.640000104904175,100,5,False
20476,23184,8,12,0,1,False,False,38.29999923706055,10600000,2015,2,55.56971359,37.49039077758789,2.740000009536743,307,16,True
20477,23186,2,12,46.5,3,False,False,83.40000153,22900000,2016,2,55.65502548217773,37.42440032958984,2.799999952316284,383,14,True
20479,23188,12,15,0,1,False,False,50,14500000,2013,2,55.60344696044922,37.662506103515625,3,451,13,True
